I am hungry.	Io ho fame.
You are thirsty.	Tu hai sete.
He is sleepy.	Lui ha sonno.
She is in a hurry.	Lei ha fretta.
We are warm.	Noi abbiamo caldo.
You are afraid.	Voi avete paura.
They are very lucky.	Loro hanno molta fortuna.
