to be (feel) hot	avere caldo
to be (feel) cold	avere freddo
to be good weather	fare bel tempo
to be (feel) well	stare bene
to be (feel) bad	stare male
to be so-so	 stare così così
to be bad weather	fare brutto tempo
to be awful weather	fare cattivo tempo
