la mia famiglia,my family
mio figlio,my son
nostro fratello,our brother
sua moglie,his wife
vivere con,to live with
voler bene a,to care for
abbracciare,to hug
l’affetto,affection
andare d’accordo con,to get along well with
la nostra mamma,our mom
vostra figlia,your daughter
suo marito,her husband
l’amore,love
l’anello di fidanzamento,engagement ring
i gemelli,the twins
la loro sorella,their sister
il tuo papà,your dad
vostra zia,your aunt
