insegnare,to teach
facile,easy
il libro di testo,textbook
il quaderno,notebook
sbagliato,wrong
studiare,to study
la biblioteca,library
il diploma,degree
la pagella,report card
passare l’esame,to pass the exam
la penna,pen
il quaderno,notebook
l’ammissione,admission
l’iscrizione,enrollment
prendere la laurea,to get a B.A.
fare domanda,to apply
fare ricerca,to do research
l’università,university
