carino,pretty
il corpo,body
il cuore,heart
i muscoli,muscles
la pelle,skin
respirare,to breath
bello,beautiful
la faccia,face
il naso,nose
l’odore,odor / smell
sentire gli odori,to smell
il suono,sound
brutto,ugly
i capelli,hair
le dita,fingers
le mani,hands
la testa,head
toccare,to touch
alto,tall
alzarsi in piedi,to stand up
