i colleghi,co-workers
impiegato,employed
lavorare,to work
il mio lavoro,my job
lo stipendio,salary
il tuo principale,your boss
assumere,to hire
il dirigente,manager
disoccupato,unemployed
l’operaio,worker
il salario,wage
scioperare,to strike
andare in ferie,to take vacation time
la fabbrica,factory
l’impiegato,employee
licenziare,fire
licenziarsi,quit
il sindacato,trade union
gli affari,business
l’azienda,firm
il biglietto da visita,business card
