il mouse,mouse
la parola chiave,password
il PC,PC
il cinguettatore,twitterer
l’emoticon,emoticon
l’icona,icon
la memoria,memory
postare,to post
scollegarsi,to get off line
mailare,to e-mail
il nome di dominio,domain name
il portale,portal
la posta spazzatura,junk-mail
la rete sociale,social network
virtuale,virtual
andare su google,to google
la chiocciola,at
il codice maligno,malware
messaggiare,to text
salvare,to save
l’SMS,text message
