innamorarsi di,to fall in love with
litigare,to argue
i loro nipoti,their granchildren
mio zio,my uncle
la sposa,the bride
il suo ragazzo,her boyfriend
affettuoso,affectionate
lasciarsi,to break up
mia nonna,my grandma
lo sposo,the groom
la sua ragazza,his girlfriend
i tuoi parenti,your relatives
innamorato,in love
i loro cugini,their cousins
il matrimonio,marriage
nostro nonno,our grandpa
sposarsi,to get married
uscire con,to go out with
