perdere,to miss
il traghetto,ferry-boat
la strada,road
a destra,right
l’aereoplano,airplane
l’autostrada,toll highway
l’indicazione,road sign
partire,to leave
il porto,port
l’aeroporto,airport
a sinistra,left
aver fretta,be in a hurry
la coincidenza,connection
il passeggero,passenger
la prenotazione,reservation
arrivare,arrive
fare la coda,to be in line
fare le valigie,to pack
in orario,on time
il passaporto,passport
prendere,take
