la galassia,galaxy
la luna,moon
i pianeti,planets
il sole,sun
sorgere,to rise
il cielo,sky
il continente,continent
l’oceano,ocean
lo spazio,space
la terra,Earth
tramontare,to set
l’universo,universe
al sole,in the sun
il clima,climate
il fiume,river
l’isola,island
la primavera,spring
la terraferma,land
all’ombra,in the shade
l’estate,summer
le nuvole,clouds
