Dov’è il castello?,Where is the castle?
la guida,guide / guidebobook
le informazioni,information
Quando andiamo in vacanza?,When are we going on vacation?
i turisti,tourists
visitare,to visit
l’albergo,hotel
al lago,at the lake
disponibile,available / vacancies
fare una passeggiata,to take a walk
il fine settimana,weekend
la stanza,room
al completo,no vacancies
al mare,at the beach
la cameriera,maid
l’ostello,hostel
la pensione,inn
pagare il conto,
