capire,to understand
la classe,class; classroom
il compito a casa,homework
difficile,difficult
l’insegnante,teacher
la scuola,school
copiare,to cheat
il compito in classe,in class test
dare il voto,to grade
frequentare,to attend
il professore,professor
"lo studente,",student
il banco,desk
correggere,to correct
giusto,correct
imparare,to learn
il lavoro di gruppo,teamwork
spiegare,to explain
