la calcolatrice,calculator
essere eguale a,to be equal to
meno,less
il metro,meter / measuring tape
profondo,deep
sottrarre,to subtract
l’atomo,atom
il batterio,bacterium
la cellula,cell
l’evoluzione,evolution
i geni,genes
il virus,virus
la data,date
l’ora,hour
il minuto,minute
l’anno,year
il secolo,century
il tempo,time
