allegare,to attach
il file,file
la mail,e-mail
mandare,to send
il sito,site
la stampante,printer
downloadare,to download
la firma digitale,digital signature
il furto d’identità,identity theft
il portatile,laptop
il profilo,profile
punto,dot
cliccare,to click
l’identità utente,user ID
interattivo,interactive
la mailing list,mailing list
il post,single posting
il videogioco,videogame
la blogger,blogger
chattare,to chat
collegarsi,to get on line
