contare,to count
decimale,decimal
la metà,half
il numero,number
più,plus
sommare,to add
dividere,to divide
largo,wide
pari,even
per,by
pesare,to weigh
il totale,total
alto,high
dispari,odd
intero,integer
lungo,long
misurare,to measure
moltiplicare,to multiply
