l’asciugamano,towel
la barba,beard
fare la doccia,to take a shower
il dentifricio,toothpaste
il rasoio,razor
lo shampoo,shampoo
i cosmetici,beauty products
lavarsi,to wash oneself
il pettine,comb
la saponetta,soap
lo spazzolino da denti,toothbrush
sudare,to sweat
il deodorante,deodorant
le lenti a contatto,contact lensess
gli occhiali,eyeglasses
lo specchio,mirror
il tatuaggio,tattoo
truccarsi,to put on makeup
grave,serious
guarire,to recover
