grazie,thank you
Come ti chiami?,What’s your name?
la gente,people
Mi chiamo...,My name is...
i miei amici,my friends
simpatico,nice
buono,good
la donna,woman
il nome,name
parlare,to speak
presentare,to introduce
la tua amica,your girlfriend
cattivo,naughty
il cognome,last name
comportarsi,to behave
gentile,kind
gli ospiti,guests
prego,you’re welcome
