l’asfalto,asphalt
dentro,in / inside
l’edificio,building
funzionare,to work
la plastica,plastic
spento,off
entrare,to go in
fuori,out / outside
il muro,walll
la porta,door
il piano,floor
le scale,stairs
chiudere a chiave,to lock
il cortile,courtyard
essere guasto,to be out of order
la finestra,window
l’ascensore,elevator
uscire,to go out
