abitare,to live
accendere,to turn on
l’affitto,rent
la casa,house / home
l’elettricità,electricity
riparare,to repair
l’appartamento,apartment
la città,city / town
la piazza,square
il riscaldamento,heating
spegnere,to turn off
traslocare,to move
acceso,on
l’aria condizionata,air conditioning
costruire,to build
la periferia,periphery
il quartiere,neighborhood
la via,street
