allegro,cheerful
aver bisogno di,to need
l’emozione,feeling
essere stufo,to be fed up
furbo,cunning
l’umore,mood
aver paura di,to be afraid of
contento,glad
dimenticarsi,to forget
il piacere,pleasure
preoccupato,worried
la speranza,hope
arrabbiato,angry
dare fastidio a,to annoy
felice,happy
indipendente,independent
noioso,boring
ottenere,to get
