andare a trovare,to visit
chiedere,to ask
antipatico,off-putting
bene,well
commovente,moving
Scusatemi.,I’m sorry.
Chi è?,Who is it?
Sono io.,It is I.
male,badly
il regalo,gift
rispondere,to answer
il vicino di casa,neighbor
il compleanno,birthday
il favore,favor
gentile,kind
insieme,together
invitare,to invite
solo,alone
