il bar,bar
il caffè,café
il cameriere,waiter
la mancia,tip
il menù,menu
il ristorante,restaurant
abbronzarsi,to get a tan
andare in gita,to go on an excursion
il costume da bagno,bathing suit
nuotare,to swim
la spiaggia,beach
la tenda,tent
l’alpinista,mountain climber
andare in campeggio,to go camping
in montagna,in the mountains
il parco naturale,natural park
il sacco da montagna,rucksack
il sentiero,trail
